OCCUPATION,COMPANY_TYPE,N,POSITIVE_SHARE
"sales representatives, wholesale and manufacturing",private,7581,0.151959
"tax examiners, collectors and preparers, and revenue agents",public,3357,0.111111
counselors,nonprofit,10670,0.548172
cashiers,public,4410,0.177098
"software and web developers, programmers, and testers",public_subsidiary,46427,0.094837
real estate brokers and sales agents,public_subsidiary,3490,0.211461
architectural and engineering managers,public_subsidiary,13058,0.120156
"engineering technologists and technicians, except drafters",private,46176,0.128941
"actors, producers, and directors",public_subsidiary,2802,0.142755
physicians,private,12911,0.385950
police officers,government,5393,0.240868
"substitute teachers, short-term",educational,4126,0.355793
writers and editors,public,4905,0.125790
computer and information analysts,public,16840,0.087530
accountants and auditors,public,14747,0.072286
accountants and auditors,government,8549,0.101649
"health teachers, postsecondary",private,7294,0.390321
medical and health services managers,private,37428,0.421503
sailors and marine oilers,private,3027,0.236207
management analysts,private,7413,0.163497
elementary and middle school teachers,nonprofit,2741,0.463335
"social sciences teachers, postsecondary",educational,3554,0.324986
financial analysts and advisors,public_subsidiary,14894,0.214784
miscellaneous social scientists and related workers,public,3754,0.146510
medical and health services managers,educational,2282,0.379930
writers and editors,nonprofit,3823,0.232540
artists and related workers,public,7290,0.083128
customer service representatives,public,24832,0.150773
chief executives,government,16254,0.304971
cashiers,private,6740,0.184273
miscellaneous engineers,public_subsidiary,12456,0.083012
dentists,private,4930,0.495538
counselors,educational,11800,0.546017
diagnostic related technologists and technicians,nonprofit,8031,0.306811
first-line supervisors of transportation and material moving workers,public,4897,0.127221
computer and information analysts,public_subsidiary,3457,0.092277
miscellaneous postsecondary teachers,educational,15536,0.336444
computer hardware engineers,public,5607,0.060995
carpenters,private,2193,0.090743
clinical laboratory technologists and technicians,nonprofit,2991,0.283852
"inspectors, testers, sorters, samplers, and weighers",private,2803,0.076347
photographers,private,14712,0.126427
economists,government,3257,0.250537
counter and rental clerks and parts salespersons,private,4022,0.134013
architectural and engineering managers,government,3190,0.182759
drafters,public,3163,0.065444
miscellaneous motor vehicle operators,private,3373,0.121554
"business teachers, postsecondary",educational,3307,0.234351
first-line supervisors of office and administrative support workers,nonprofit,4276,0.308700
secondary school teachers,educational,5989,0.437469
procurement clerks,public,2746,0.082666
nuclear engineers,government,2286,0.157918
detectives and criminal investigators,private,2432,0.199836
human resources workers,government,6130,0.274878
electrical and electronics engineers,private,17468,0.083352
computer support specialists,government,10031,0.097298
miscellaneous managers,public_subsidiary,9569,0.149336
"securities, commodities, and financial services sales agents",public_subsidiary,19217,0.117396
air traffic controllers and airfield operations specialists,public,2219,0.134295
logisticians and project management specialists,nonprofit,2880,0.297917
insurance claims and policy processing clerks,private,4698,0.173904
writers and editors,public_subsidiary,2149,0.112145
"life sciences teachers, postsecondary",private,4935,0.336575
miscellaneous media and communication workers,private,4290,0.228671
human resources managers,private,88440,0.249084
driver/sales workers and truck drivers,private,8999,0.104567
compensation and benefits managers,private,17396,0.204587
teaching assistants,educational,16829,0.288074
"software and web developers, programmers, and testers",public,203354,0.092263
financial analysts and advisors,private,108524,0.236077
public relations and fundraising managers,private,43168,0.208835
"actors, producers, and directors",private,36812,0.189748
"claims adjusters, appraisers, examiners, and investigators",public_subsidiary,2020,0.112871
secretaries and administrative assistants,public,25016,0.116565
social workers,nonprofit,9318,0.561601
mechanical engineers,public,15152,0.090417
"actors, producers, and directors",nonprofit,15682,0.445543
health practitioner support technologists and technicians,nonprofit,9731,0.349707
dietitians and nutritionists,nonprofit,4793,0.538911
database and network administrators and architects,government,8854,0.095211
logisticians and project management specialists,public,14048,0.087059
first-line supervisors of building and grounds cleaning and maintenance workers,private,3083,0.115148
human resources workers,educational,3176,0.337531
writers and editors,private,29877,0.163403
public relations and fundraising managers,nonprofit,15252,0.404078
first-line supervisors of office and administrative support workers,public,6263,0.135079
social science research assistants,educational,16664,0.241719
administrative services and facilities managers,public,7996,0.126438
computer and information systems managers,educational,5203,0.275802
waiters and waitresses,private,15109,0.198491
computer and information systems managers,government,7801,0.192924
sales engineers,private,12159,0.079201
fast food and counter workers,private,4311,0.241707
miscellaneous computer occupations,educational,8956,0.224542
receptionists and information clerks,private,7225,0.194602
chemical engineers,private,9868,0.086238
retail salespersons,private,9889,0.181313
"office clerks, general",private,3594,0.173901
management analysts,government,5367,0.220794
receptionists and information clerks,nonprofit,2203,0.251475
physicians,public,2054,0.278481
miscellaneous financial specialists,public,2249,0.115607
"securities, commodities, and financial services sales agents",private,186056,0.133497
advertising and promotions managers,private,60036,0.144413
financial managers,nonprofit,17165,0.169706
"actors, producers, and directors",educational,4125,0.386182
physician assistants,nonprofit,7199,0.394916
architectural and engineering managers,public,53712,0.109622
environmental scientists and geoscientists,government,3157,0.277479
medical scientists,nonprofit,3054,0.334971
"bookkeeping, accounting, and auditing clerks",private,19439,0.109265
psychologists,private,25464,0.545712
miscellaneous engineers,nonprofit,3109,0.136700
"eligibility interviewers, government programs",private,2326,0.270851
training and development managers,public,4159,0.198605
telemarketers,private,7932,0.178391
"securities, commodities, and financial services sales agents",nonprofit,2971,0.230226
miscellaneous healthcare diagnosing or treating practitioners,private,8953,0.496705
database and network administrators and architects,nonprofit,9204,0.125598
compliance officers,nonprofit,2238,0.264969
loan interviewers and clerks,private,4165,0.134694
medical scientists,government,2473,0.465831
medical and health services managers,government,2443,0.386819
legislators,government,2244,0.406417
economists,private,2083,0.188670
chief executives,educational,11658,0.398696
conservation scientists and foresters,government,2171,0.358821
public relations and fundraising managers,public,11919,0.163269
advertising and promotions managers,nonprofit,7459,0.305671
miscellaneous health practitioners and technical workers,private,4897,0.341025
