OCCUPATION,SEX,N,AVG_PROB,POSITIVE_SHARE
counselors,female,54005,0.5707228037155508,0.558670
registered nurses,male,23170,0.42231730570344644,0.413034
secretaries and administrative assistants,male,39856,0.2000430895508166,0.191013
miscellaneous managers,female,60431,0.24060388979708638,0.229783
lodging managers,female,5027,0.19801107980673918,0.188980
lawyers and judicial law clerks,female,68765,0.2278309890366099,0.218585
"transportation, storage, and distribution managers",male,64263,0.10436461405870455,0.095887
"broadcast, sound, and lighting technicians",male,11164,0.08309123061253698,0.077392
"engineering technologists and technicians, except drafters",female,27935,0.19960216887296617,0.191301
aircraft pilots and flight engineers,male,13222,0.13946234274755212,0.129708
artists and related workers,male,52369,0.1002084953796648,0.093013
occupational health and safety specialists and technicians,male,5291,0.2926206384031615,0.274050
drafters,female,7697,0.19043241484333215,0.181759
miscellaneous postsecondary teachers,male,11312,0.2817033939302455,0.268299
procurement clerks,female,5526,0.10475282262563923,0.099349
training and development managers,male,14194,0.27239958364223665,0.259124
"substitute teachers, short-term",male,6144,0.31680211507812334,0.306966
supervisors of food preparation and serving workers,female,6450,0.17326100743860445,0.163876
first-line supervisors of production and operating workers,male,15635,0.10331396853100397,0.094276
cashiers,female,8476,0.20238966436310038,0.195257
waiters and waitresses,female,12828,0.23314151011578163,0.225990
"compensation, benefits, and job analysis specialists",female,12938,0.230724021976779,0.218504
recreation and fitness workers,female,13664,0.45402274475861837,0.441964
"industrial engineers, including health and safety",female,24585,0.17138681670315337,0.162823
compensation and benefits managers,male,8763,0.21695200235715262,0.204724
public relations and fundraising managers,female,47346,0.287986319164461,0.275440
purchasing managers,male,13024,0.08054744304925472,0.074401
special education teachers,female,17207,0.5001981444533867,0.488813
"health teachers, postsecondary",male,7395,0.30587299447651695,0.294659
"maintenance and repair workers, general",male,9787,0.08663950127028645,0.079902
receptionists and information clerks,female,9802,0.21496620022156662,0.206488
cooks,male,6578,0.1360038307210071,0.129523
home health and personal care aides,female,7318,0.3832066127733559,0.372096
"meter readers, utilities",male,5859,0.08243729294253874,0.075781
architectural and engineering managers,female,72087,0.18578970376291312,0.176301
chief executives,female,811904,0.3527264817708756,0.339387
"software and web developers, programmers, and testers",male,351655,0.10262017786572573,0.096350
computer and information systems managers,male,184288,0.13707257428647382,0.127507
secretaries and administrative assistants,female,173216,0.20339939155971629,0.194595
computer and information analysts,male,42025,0.10599985228756958,0.096466
"arts, communications, history, and humanities teachers, postsecondary",male,16428,0.3045151075231846,0.292306
compliance officers,female,13546,0.177594182335997,0.169423
miscellaneous media and communication workers,female,5858,0.23354588519790245,0.224821
construction managers,male,24364,0.08757655544212624,0.080241
tutors,female,7411,0.43885865475312313,0.426933
therapists,male,16243,0.4723255483328072,0.460260
purchasing managers,female,11722,0.1031459475182563,0.096144
miscellaneous personal appearance workers,female,7677,0.24528699954275845,0.233946
customer service representatives,female,68231,0.1835810169741841,0.175096
counselors,male,21427,0.41792167709498385,0.405236
database and network administrators and architects,female,16744,0.15299385415454939,0.145246
miscellaneous healthcare diagnosing or treating practitioners,female,13552,0.5021606837518371,0.490924
public relations specialists,female,20522,0.2617442104218647,0.251632
"office clerks, general",female,5480,0.19778963447706902,0.190328
environmental scientists and geoscientists,male,6323,0.15810781257151732,0.148505
pharmacists,female,13058,0.4792870789338454,0.470516
"adult basic education, adult secondary education, and english as a second language instructors",female,11572,0.445960437673125,0.436139
clinical laboratory technologists and technicians,female,7019,0.2846747249840845,0.275965
recreation and fitness workers,male,5591,0.4107464304783242,0.395636
miscellaneous computer occupations,female,146402,0.17976237921204233,0.170995
computer and information systems managers,female,65834,0.24440775081253255,0.233451
civil engineers,male,26292,0.12492881840120831,0.118553
billing and posting clerks,female,17127,0.10069859259863172,0.095522
"actors, producers, and directors",female,37993,0.3244810929438629,0.312794
public relations specialists,male,9006,0.22199340401185613,0.209416
"models, demonstrators, and product promoters",female,6000,0.21667034935518678,0.207000
flight attendants,female,5793,0.21050258876326727,0.199379
bill and account collectors,female,8906,0.10806312577060498,0.102403
social science research assistants,female,9319,0.33942390717394216,0.326859
management analysts,female,10023,0.2132618772062189,0.203632
general and operations managers,female,182005,0.21864265934820695,0.207395
real estate brokers and sales agents,male,91379,0.22211279884167412,0.210924
"athletes, coaches, umpires, and related workers",male,20245,0.28151852224387597,0.271919
personal service managers,female,5699,0.48691029897352267,0.474118
financial analysts and advisors,male,119091,0.2302403417293065,0.216314
advertising and promotions managers,male,43396,0.14370362918574725,0.133653
human resources managers,male,34190,0.23233477890286644,0.216467
elementary and middle school teachers,male,13593,0.39678571198424206,0.387552
psychologists,female,35580,0.5616865696337145,0.548145
electricians,male,8484,0.07984559157569247,0.073432
database and network administrators and architects,male,68482,0.08349694213582942,0.077378
writers and editors,female,37396,0.224456289044921,0.211868
social and community service managers,female,7052,0.4952083931946631,0.483267
"hotel, motel, and resort desk clerks",female,7721,0.22057171283899413,0.210854
ship and boat captains and operators,male,5469,0.14000537561915763,0.130920
industrial production managers,female,12345,0.14291381093153288,0.134791
administrative services and facilities managers,male,33144,0.159586419595005,0.147659
travel agents,female,5249,0.20584010217751084,0.193561
management analysts,male,8345,0.15669857366563242,0.148232
"news analysts, reporters and journalists",female,9615,0.2717371498275297,0.256474
miscellaneous community and social service specialists,female,16295,0.49329585014033206,0.482479
miscellaneous health practitioners and technical workers,female,6395,0.40420220359575,0.394058
"bookkeeping, accounting, and auditing clerks",female,19327,0.13056452596952225,0.122419
