GROUP_NAME,N,AVG_PROB,POSITIVE_SHARE
Trend Business College,530,0.217503110425066,0.211852
East Stroudsburg University of Pennsylvania,14558,0.25655487873643423,0.245666
Lincoln School,10288,0.22903039203571116,0.217697
John A Logan College,3189,0.2334026945326434,0.223292
Mary Baldwin University,4375,0.34024651793010996,0.328509
Indiana University,81408,0.2692720085362662,0.257771
Fond Du Lac Tribal and Community College,820,0.28281630546475156,0.272102
Rets Technical Center,1027,0.14117137351990464,0.131236
American Career College,3048,0.336304632823403,0.326570
Duff's Business Institute,694,0.1612990736945179,0.156250
English Nanny and Governess School,1114,0.2129941915137527,0.198091
Chatfield College,1979,0.23538526052678316,0.224490
University of Connecticut,93900,0.2428405119609195,0.233351
Alverno College,5292,0.3828557215027536,0.370730
Eti School of Skilled Trades,634,0.13399946782202918,0.122340
Nazareth Academy,3771,0.22086684436471554,0.208004
Goodwin University,3402,0.32848695361776553,0.317495
Interactive College of Technology-Chamblee,593,0.1528285126737172,0.144611
Iowa School of Beauty-Ottumwa,2827,0.17062284619443402,0.159488
Texas Handgun Academy,809,0.24721019736003677,0.228928
Global University,6535,0.28555692326011495,0.272514
Midamerica Nazarene University,5380,0.30354499112807365,0.292156
Conservatory of Recording Arts and Sciences,3465,0.14242639867034804,0.134179
University of Montevallo,6119,0.26057465432708604,0.250645
Franciscan University of Steubenville,6059,0.3118382782352172,0.298140
Missouri Valley College,2139,0.23870536765233777,0.230557
United States Air Force School of Aerospace Medicine,875,0.2973249083694073,0.280220
Institute of Financial Planning,541,0.21153322747960324,0.195276
Arizona Christian University,1387,0.32673215209149675,0.312964
Asbury University,4237,0.3127757759228995,0.302427
Central Technology Center,1868,0.17772816203221448,0.165743
Abram Friedman Occupational Center,564,0.237756268214619,0.228358
Appraisal Institute,2126,0.13500467152280793,0.125695
Sadhana Yoga School,2198,0.3426747036265627,0.328029
Real Estate School,3793,0.2696506864851288,0.259026
Shorter University,4821,0.23655091949708923,0.226998
Troy University at Dothan,1656,0.23860988398773164,0.223363
Lincoln College of New England,1988,0.25593456879837134,0.247209
National Massage Therapy Institute,577,0.40793106890565056,0.394509
National Veterans Training Institute,836,0.38789296056944395,0.378299
Grace Institute,1790,0.23553960138217112,0.228328
Viterbo University,5058,0.3789015328631256,0.366761
Fitchburg State University,13795,0.24206792673240451,0.232078
Calc Institute of Technology,831,0.16985687869330532,0.162218
Ultrasound Medical Institute,7152,0.1705038618878772,0.163190
Northeast Ohio Medical University,2371,0.39540785596658923,0.387257
Cad Institute,604,0.12706533110895432,0.120166
Hohokus School of Trade and Technical Sciences,557,0.19233439978290118,0.187200
South University,15593,0.32715687991509346,0.315883
Ashland University,13563,0.2754141943967368,0.265309
Mayo School of Health Sciences,4045,0.39968101871711076,0.386213
Southern State Community College,1881,0.21966869208158182,0.210241
West Texas A&M University,14806,0.247372198137518,0.237174
University of Massachusetts Chan Medical School,2808,0.4495768900448707,0.437699
College of Southern Idaho,4210,0.2729877391440871,0.262233
Omnitech Institute,902,0.13159578564684302,0.116769
Kaistar,664,0.12262142020620527,0.117249
Alice Lloyd College,777,0.26543030259827033,0.259740
Stafford Hall School of Business,913,0.21705962936271977,0.203704
University of Santa Monica,2553,0.5421535033481627,0.523139
Mcnally Smith College of Music,1180,0.20986304179147544,0.196620
College of St Joseph,4058,0.2215594694800363,0.211201
Carver Career Center,1695,0.27535162661297546,0.266400
Apostolic Bible Institute Inc,600,0.33420763158362804,0.328590
St. Francis College,7791,0.21471824079065982,0.203875
Hinds Community College,7621,0.21215692985450305,0.204371
Academies of Loudoun,1831,0.21363999000567988,0.205005
Robbins Madanes Training,854,0.601313863793093,0.583104
National Holistic Institute,3080,0.491218299543873,0.476580
Centura College-Virginia Beach,592,0.23046380219219456,0.218310
Institute of Training and Development,2823,0.31503115462250103,0.294632
Tefl Academy,1682,0.3955743807503633,0.379274
Pivot Point Academy,651,0.31830025696238323,0.301158
Pontifical Faculty of The Immaculate Conception at The Dominican House of Studies,4813,0.22000664702840617,0.209486
Commercial Diving Technologies Institute,535,0.13669037506561207,0.125612
International Culinary Arts and Sciences Institute,687,0.1995681411935143,0.191372
University of Minnesota,80707,0.3035997277230876,0.292012
North Central Michigan College,1940,0.23224035386024752,0.223413
International Tour Management Institute (ITMI),1459,0.2258041990024488,0.211549
Red Rocks Community College,10079,0.2460420153570023,0.234928
University of The Sciences,7179,0.3225297883477164,0.311601
Concordia University-Irvine,7656,0.3791280868911936,0.368086
Polytechnic University of Puerto Rico,3119,0.11515054071908246,0.106354
Fema Emergency Management Institute,1019,0.3483045123986585,0.336500
University of Wisconsin-Stout,26157,0.2231945403263293,0.211971
