GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
publishing,81490,0.1983474103444709,0.00019999999494757503,0.187066
law practice,396296,0.19035399409161338,9.999999747378752e-05,0.180607
insurance,673918,0.18876185649637856,9.999999747378752e-05,0.178529
executive office,34445,0.19010969911807946,0.00019999999494757503,0.178139
military,211156,0.189435595133203,9.999999747378752e-05,0.178025
restaurants,208637,0.18433335369228437,9.999999747378752e-05,0.174552
"leisure, travel & tourism",95945,0.1858453349453122,0.00019999999494757503,0.173943
security and investigations,92747,0.18550493028110707,0.00019999999494757503,0.172512
fishery,3763,0.1853595001349955,0.0003000000142492354,0.171140
internet,312209,0.181485322016246,0.00019999999494757503,0.171139
financial services,1657043,0.18073711454098187,0.00019999999494757503,0.169950
events services,104146,0.1798518921643708,0.00019999999494757503,0.169128
supermarkets,15333,0.17369176907734368,9.999999747378752e-05,0.164156
retail,872150,0.17354715197807163,9.999999747378752e-05,0.163812
media production,121323,0.17303617259511297,0.00019999999494757503,0.162813
newspapers,31634,0.16938023308345282,9.999999747378752e-05,0.158216
hospitality,341113,0.16196363404483247,9.999999747378752e-05,0.151912
information services,70531,0.16057168451543116,0.00019999999494757503,0.150600
outsourcing/offshoring,30731,0.1608560472594581,0.00019999999494757503,0.150467
civil engineering,173202,0.15826395159288847,9.999999747378752e-05,0.150096
broadcast media,118243,0.15923444321227231,9.999999747378752e-05,0.149937
facilities services,112000,0.15938481225029388,9.999999747378752e-05,0.149116
entertainment,353165,0.15837945522594404,9.999999747378752e-05,0.148534
design,192875,0.15687423277671259,9.999999747378752e-05,0.147147
investment management,81421,0.15375240630195716,9.999999747378752e-05,0.144324
food & beverages,197499,0.15290607873913573,9.999999747378752e-05,0.143479
sporting goods,29598,0.15149434055177613,9.999999747378752e-05,0.142408
apparel & fashion,177712,0.15098432154940206,9.999999747378752e-05,0.142067
banking,369452,0.15076007297897948,9.999999747378752e-05,0.141780
computer software,1459156,0.150510602681015,0.00019999999494757503,0.140816
food production,211486,0.14989738396831276,9.999999747378752e-05,0.140293
marketing and advertising,611108,0.14804392702079025,0.00019999999494757503,0.138529
utilities,219338,0.1475940404461403,9.999999747378752e-05,0.138011
photography,83614,0.14762790656548797,9.999999747378752e-05,0.137513
airlines/aviation,137007,0.1466476958561614,9.999999747378752e-05,0.136767
dairy,5529,0.142412841268385,9.999999747378752e-05,0.131489
nanotechnology,4638,0.13426090964560802,9.999999747378752e-05,0.126994
market research,34061,0.13483310510844035,9.999999747378752e-05,0.126362
furniture,51004,0.1340739351714464,9.999999747378752e-05,0.124676
transportation/trucking/railroad,222382,0.13216369694677932,9.999999747378752e-05,0.122843
motion pictures and film,33980,0.13081246301060104,9.999999747378752e-05,0.122543
computer games,48468,0.13117621505842328,9.999999747378752e-05,0.122411
consumer goods,329627,0.13062623094487685,9.999999747378752e-05,0.121838
computer & network security,102360,0.13393750178775232,0.00019999999494757503,0.121669
business supplies and equipment,41155,0.12908181969209384,9.999999747378752e-05,0.121127
capital markets,8406,0.13090943351001366,9.999999747378752e-05,0.120985
commercial real estate,27484,0.12739940310144038,9.999999747378752e-05,0.119379
package/freight delivery,25097,0.12802153630146332,9.999999747378752e-05,0.118421
accounting,273875,0.12489936224079017,9.999999747378752e-05,0.116714
luxury goods & jewelry,47606,0.12316596417114296,9.999999747378752e-05,0.114418
construction,727712,0.12221192770627316,9.999999747378752e-05,0.114015
gambling & casinos,28720,0.12112209248837195,9.999999747378752e-05,0.112465
paper & forest products,23679,0.12061331118822399,9.999999747378752e-05,0.110731
wine and spirits,50304,0.11903401103858846,9.999999747378752e-05,0.110230
information technology and services,1320911,0.11844557383021019,9.999999747378752e-05,0.109786
consumer electronics,104740,0.11703128392709264,9.999999747378752e-05,0.109777
textiles,24398,0.11667979325672144,9.999999747378752e-05,0.108984
building materials,140904,0.1163075595746448,9.999999747378752e-05,0.107662
chemicals,143246,0.11583028620149126,9.999999747378752e-05,0.107214
wireless,13648,0.11462541006880764,9.999999747378752e-05,0.107122
computer hardware,140957,0.114228861820809,9.999999747378752e-05,0.106132
graphic design,74921,0.11324671435957591,9.999999747378752e-05,0.105992
telecommunications,333836,0.11354412840166514,9.999999747378752e-05,0.105249
warehousing,16302,0.11304517834541167,9.999999747378752e-05,0.104711
defense & space,348532,0.1132484275008482,9.999999747378752e-05,0.104550
automotive,397320,0.11101922437102613,9.999999747378752e-05,0.103035
mining & metals,54206,0.11196534316183937,9.999999747378752e-05,0.102461
logistics and supply chain,182753,0.11083503950491182,9.999999747378752e-05,0.102329
maritime,28105,0.11058182869421526,9.999999747378752e-05,0.102259
wholesale,123227,0.10947403629378905,9.999999747378752e-05,0.101707
"glass, ceramics & concrete",12457,0.10907493764312406,9.999999747378752e-05,0.100987
aviation & aerospace,209764,0.10755453015003515,9.999999747378752e-05,0.099598
import and export,12008,0.10786638897450171,9.999999747378752e-05,0.099434
computer networking,25746,0.10485960129872375,9.999999747378752e-05,0.098035
packaging and containers,58965,0.10596478916072011,9.999999747378752e-05,0.097125
mechanical or industrial engineering,158161,0.10439548041661939,9.999999747378752e-05,0.096528
animation,17522,0.10250204864428838,9.999999747378752e-05,0.095023
investment banking,27796,0.10040136335146056,9.999999747378752e-05,0.094150
industrial automation,91431,0.09786809931411641,9.999999747378752e-05,0.090823
oil & energy,301927,0.09883950513024399,9.999999747378752e-05,0.090383
railroad manufacture,6084,0.0982621137652199,9.999999747378752e-05,0.090072
printing,54886,0.09631479960468646,9.999999747378752e-05,0.089476
